account number,name,sku,category,quantity,unit price,ext price,date,time,am_pm
296809,Carroll PLC,QN-82852,Belt,13,44.48,578.24,9/27/2014 0:00,7:13:03,AM
98022,Heidenreich-Bosco,MJ-21460,Shoes,19,53.62,1018.78,7/29/2014 0:00,2:10:44,AM
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,12,24.16,289.92,3/1/2014 0:00,10:51:24,AM
93356,Waters-Walker,AS-93055,Shirt,5,82.68,413.4,11/17/2013 0:00,8:41:11,PM
659366,Waelchi-Fahey,AS-93055,Shirt,18,99.64,1793.52,1/3/2014 0:00,8:14:27,AM
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,52.82,897.94,12/4/2013 0:00,2:07:05,AM
995267,Cole-Eichmann,GS-86623,Shoes,18,15.28,275.04,4/9/2014 0:00,4:15:03,PM
524021,Hegmann and Sons,LL-46261,Shoes,7,78.78,551.46,6/18/2014 0:00,7:25:10,PM
929400,"Senger, Upton and Breitenberg",LW-86841,Shoes,17,38.19,649.23,2/10/2014 0:00,5:55:56,AM
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,12,26.98,323.76,5/20/2014 0:00,12:21:28,AM
995267,Cole-Eichmann,KV-99194,Shirt,19,60.22,1144.18,3/10/2014 0:00,6:23:31,AM
524021,Hegmann and Sons,QN-82852,Belt,6,13.12,78.72,11/3/2013 0:00,6:38:16,PM
758133,"Kihn, McClure and Denesik",LL-46261,Shoes,4,59.69,238.76,1/11/2014 0:00,9:48:28,PM
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,12,97.25,1167,9/19/2014 0:00,1:20:00,PM
201259,Koelpin PLC,GS-86623,Shoes,9,81.44,732.96,8/12/2014 0:00,8:05:27,AM
93356,Waters-Walker,LL-46261,Shoes,18,53.33,959.94,7/15/2014 0:00,11:21:11,PM
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,4,35.62,142.48,10/5/2014 0:00,11:38:16,PM
201259,Koelpin PLC,KV-99194,Shirt,17,98.23,1669.91,1/26/2014 0:00,1:52:36,AM
758133,"Kihn, McClure and Denesik",WJ-02096,Belt,15,69.52,1042.8,11/13/2013 0:00,9:38:46,PM
296809,Carroll PLC,VG-32047,Shirt,12,80.12,961.44,5/24/2014 0:00,4:03:28,PM
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,13,81.19,1055.47,1/8/2014 0:00,2:45:07,AM
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,2,48.15,96.3,4/28/2014 0:00,7:01:04,AM
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,1,54.94,54.94,8/9/2014 0:00,11:22:15,AM
734922,Berge LLC,QN-82852,Belt,4,57.75,231,11/4/2013 0:00,9:48:26,AM
296809,Carroll PLC,AS-93055,Shirt,14,47.68,667.52,1/12/2014 0:00,12:28:09,AM
304860,Huel-Haag,QN-82852,Belt,2,41.4,82.8,9/23/2014 0:00,2:36:55,AM
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,6,58.52,351.12,3/14/2014 0:00,2:28:57,AM
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,12,96.62,1159.44,12/13/2013 0:00,3:19:19,AM
850140,Kunze Inc,KV-99194,Shirt,12,93.67,1124.04,2/19/2014 0:00,6:03:09,AM
115138,Gorczany-Hahn,VG-32047,Shirt,12,72.63,871.56,2/7/2014 0:00,3:30:14,AM
711951,Kilback-Gerlach,AS-93055,Shirt,2,90.8,181.6,3/26/2014 0:00,8:56:14,PM
676847,Hamill-Hackett,AS-93055,Shirt,6,42.96,257.76,11/14/2013 0:00,10:16:18,PM
711951,Kilback-Gerlach,AS-93055,Shirt,1,71.5,71.5,4/14/2014 0:00,4:58:07,PM
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,1,74.43,74.43,9/20/2014 0:00,9:49:19,AM
201259,Koelpin PLC,GS-86623,Shoes,8,35.38,283.04,12/12/2013 0:00,2:37:57,AM
115138,Gorczany-Hahn,QN-82852,Belt,16,24.87,397.92,2/20/2014 0:00,7:42:49,AM
296809,Carroll PLC,WJ-02096,Belt,14,15.33,214.62,12/3/2013 0:00,1:25:07,AM
93356,Waters-Walker,AS-93055,Shirt,12,94.34,1132.08,9/4/2014 0:00,1:39:04,PM
850140,Kunze Inc,MJ-21460,Shoes,18,12.78,230.04,2/20/2014 0:00,1:18:47,PM
676847,Hamill-Hackett,LL-46261,Shoes,3,28.71,86.13,1/2/2014 0:00,12:49:41,PM
115138,Gorczany-Hahn,VG-32047,Shirt,11,11.21,123.31,12/10/2013 0:00,8:13:01,PM
201259,Koelpin PLC,KV-99194,Shirt,4,29.79,119.16,11/7/2013 0:00,5:43:31,PM
201259,Koelpin PLC,LW-86841,Shoes,11,35.82,394.02,6/21/2014 0:00,7:49:30,PM
676847,Hamill-Hackett,WJ-02096,Belt,6,55.43,332.58,8/8/2014 0:00,1:50:43,PM
304860,Huel-Haag,GS-86623,Shoes,4,95.75,383,3/15/2014 0:00,12:50:59,PM
304860,Huel-Haag,MJ-21460,Shoes,10,12.63,126.3,6/5/2014 0:00,10:34:03,PM
850140,Kunze Inc,MJ-21460,Shoes,10,26.21,262.1,4/21/2014 0:00,2:14:10,AM
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,11,92.1,1013.1,3/21/2014 0:00,2:26:03,PM
750461,"Volkman, Goyette and Lemke",MJ-21460,Shoes,10,98.27,982.7,10/2/2014 0:00,4:41:10,AM
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,6,65.4,392.4,9/17/2014 0:00,7:15:27,PM
995267,Cole-Eichmann,KV-99194,Shirt,10,23.79,237.9,11/17/2013 0:00,11:56:36,PM
201259,Koelpin PLC,MJ-21460,Shoes,7,52.01,364.07,5/23/2014 0:00,5:49:08,PM
758133,"Kihn, McClure and Denesik",FK-71853,Shirt,11,13.06,143.66,3/1/2014 0:00,8:58:41,AM
850140,Kunze Inc,GS-86623,Shoes,14,92.43,1294.02,8/3/2014 0:00,9:22:07,PM
201259,Koelpin PLC,FK-71853,Shirt,14,57.69,807.66,5/26/2014 0:00,4:29:02,PM
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,10,83.05,830.5,1/5/2014 0:00,10:16:57,AM
98022,Heidenreich-Bosco,GS-86623,Shoes,10,26.49,264.9,2/12/2014 0:00,7:27:39,AM
929400,"Senger, Upton and Breitenberg",GS-86623,Shoes,15,88.24,1323.6,7/9/2014 0:00,7:31:43,PM
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,13,75.38,979.94,3/5/2014 0:00,9:26:56,AM
850140,Kunze Inc,LW-86841,Shoes,16,66.61,1065.76,7/25/2014 0:00,10:56:12,PM
734922,Berge LLC,GS-86623,Shoes,3,99.88,299.64,8/4/2014 0:00,11:08:09,PM
995267,Cole-Eichmann,AS-93055,Shirt,7,41.75,292.25,7/8/2014 0:00,3:01:53,PM
115138,Gorczany-Hahn,AS-93055,Shirt,13,22.23,288.99,1/13/2014 0:00,6:31:57,PM
929400,"Senger, Upton and Breitenberg",QN-82852,Belt,18,71.38,1284.84,9/24/2014 0:00,4:14:12,AM
98022,Heidenreich-Bosco,LW-86841,Shoes,9,89.82,808.38,11/30/2013 0:00,11:19:44,PM
115138,Gorczany-Hahn,KV-99194,Shirt,10,85.12,851.2,5/17/2014 0:00,3:23:30,AM
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,17,75.04,1275.68,2/9/2014 0:00,4:56:59,PM
750461,"Volkman, Goyette and Lemke",KV-99194,Shirt,3,45.05,135.15,2/17/2014 0:00,4:26:57,AM
563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,16,76.77,1228.32,1/5/2014 0:00,2:40:58,AM
659366,Waelchi-Fahey,VG-32047,Shirt,11,99.09,1089.99,7/15/2014 0:00,9:09:33,PM
555594,"Ernser, Cruickshank and Lind",AS-93055,Shirt,3,71.25,213.75,9/29/2014 0:00,6:24:24,AM
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,14,40.3,564.2,1/15/2014 0:00,6:10:47,PM
659366,Waelchi-Fahey,AS-93055,Shirt,1,10.38,10.38,9/12/2014 0:00,9:26:08,PM
304860,Huel-Haag,GS-86623,Shoes,8,69.32,554.56,8/5/2014 0:00,3:34:59,PM
758133,"Kihn, McClure and Denesik",QN-82852,Belt,12,82.74,992.88,7/28/2014 0:00,12:55:13,AM
524021,Hegmann and Sons,QN-82852,Belt,17,81.64,1387.88,5/29/2014 0:00,5:51:07,AM
676847,Hamill-Hackett,LL-46261,Shoes,5,50.63,253.15,10/22/2014 0:00,11:43:28,AM
850140,Kunze Inc,LW-86841,Shoes,6,81.41,488.46,9/11/2014 0:00,8:41:22,AM
115138,Gorczany-Hahn,QN-82852,Belt,13,18.45,239.85,1/19/2014 0:00,9:22:08,PM
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,17.36,295.12,1/29/2014 0:00,2:09:39,PM
304860,Huel-Haag,AS-93055,Shirt,9,55.09,495.81,6/28/2014 0:00,10:39:25,PM
995267,Cole-Eichmann,LL-46261,Shoes,3,17.54,52.62,1/17/2014 0:00,7:11:41,PM
758133,"Kihn, McClure and Denesik",AS-93055,Shirt,7,82.51,577.57,1/13/2014 0:00,8:06:03,AM
304860,Huel-Haag,WJ-02096,Belt,3,14.9,44.7,11/21/2013 0:00,2:28:29,PM
659366,Waelchi-Fahey,FK-71853,Shirt,6,89.05,534.3,5/15/2014 0:00,2:19:37,AM
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,18,57.99,1043.82,9/25/2014 0:00,6:23:20,AM
201259,Koelpin PLC,VG-32047,Shirt,1,35.82,35.82,4/1/2014 0:00,11:12:52,AM
734922,Berge LLC,LW-86841,Shoes,5,56,280,11/22/2013 0:00,5:45:35,PM
555594,"Ernser, Cruickshank and Lind",WJ-02096,Belt,7,77.52,542.64,2/1/2014 0:00,9:30:21,AM
555594,"Ernser, Cruickshank and Lind",LL-46261,Shoes,12,47.07,564.84,8/8/2014 0:00,11:08:24,AM
758133,"Kihn, McClure and Denesik",KV-99194,Shirt,18,70.12,1262.16,10/25/2013 0:00,3:43:33,AM
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,20,28.61,572.2,9/30/2014 0:00,7:16:05,PM
115138,Gorczany-Hahn,FK-71853,Shirt,12,73.92,887.04,5/15/2014 0:00,1:22:25,PM
201259,Koelpin PLC,FK-71853,Shirt,2,38.82,77.64,12/10/2013 0:00,5:54:51,PM
299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,14,69.26,969.64,1/20/2014 0:00,8:34:55,PM
734922,Berge LLC,GS-86623,Shoes,19,28.54,542.26,10/26/2013 0:00,5:03:00,PM
296809,Carroll PLC,LL-46261,Shoes,7,79.15,554.05,3/7/2014 0:00,9:38:37,AM
299771,"Kuphal, Zieme and Kub",GS-86623,Shoes,20,36.19,723.8,7/2/2014 0:00,8:35:43,AM
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,19,93.21,1770.99,4/20/2014 0:00,6:58:11,PM
201259,Koelpin PLC,MJ-21460,Shoes,5,23.76,118.8,8/17/2014 0:00,11:00:49,AM
115138,Gorczany-Hahn,FK-71853,Shirt,2,44.1,88.2,8/9/2014 0:00,6:31:40,PM
115138,Gorczany-Hahn,LL-46261,Shoes,20,41.05,821,2/20/2014 0:00,7:29:02,AM
305803,"Davis, Kshlerin and Reilly",LW-86841,Shoes,19,47.78,907.82,2/22/2014 0:00,1:15:38,PM
711951,Kilback-Gerlach,LW-86841,Shoes,9,95.92,863.28,5/29/2014 0:00,10:08:13,PM
93356,Waters-Walker,GS-86623,Shoes,4,50.1,200.4,8/11/2014 0:00,2:09:32,AM
98022,Heidenreich-Bosco,WJ-02096,Belt,10,75.51,755.1,10/22/2013 0:00,11:19:39,PM
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,19,64.38,1223.22,9/2/2014 0:00,9:51:04,PM
524021,Hegmann and Sons,FK-71853,Shirt,12,17.42,209.04,1/22/2014 0:00,2:25:19,PM
115138,Gorczany-Hahn,MJ-21460,Shoes,11,81.67,898.37,9/6/2014 0:00,11:50:34,AM
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,6,74.08,444.48,2/28/2014 0:00,6:37:43,PM
299771,"Kuphal, Zieme and Kub",MJ-21460,Shoes,18,25.91,466.38,8/12/2014 0:00,10:48:01,PM
524021,Hegmann and Sons,LL-46261,Shoes,6,57.32,343.92,12/20/2013 0:00,12:38:08,PM
750461,"Volkman, Goyette and Lemke",QN-82852,Belt,6,78.61,471.66,12/18/2013 0:00,12:13:25,PM
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,5,50.85,254.25,8/2/2014 0:00,5:30:13,AM
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,13,72.12,937.56,3/9/2014 0:00,2:23:35,PM
299771,"Kuphal, Zieme and Kub",MJ-21460,Shoes,14,24.91,348.74,4/6/2014 0:00,7:20:34,PM
555594,"Ernser, Cruickshank and Lind",MJ-21460,Shoes,9,43.25,389.25,4/26/2014 0:00,4:22:46,PM
299771,"Kuphal, Zieme and Kub",QN-82852,Belt,12,66.32,795.84,11/19/2013 0:00,4:47:16,AM
659366,Waelchi-Fahey,AS-93055,Shirt,2,24.3,48.6,11/10/2013 0:00,1:25:32,PM
734922,Berge LLC,MJ-21460,Shoes,12,53.7,644.4,9/27/2014 0:00,2:51:01,AM
201259,Koelpin PLC,LL-46261,Shoes,16,80.82,1293.12,8/19/2014 0:00,12:53:50,AM
555594,"Ernser, Cruickshank and Lind",QN-82852,Belt,10,91.71,917.1,6/25/2014 0:00,7:11:32,PM
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,11,16.05,176.55,9/26/2014 0:00,3:52:52,AM
93356,Waters-Walker,VG-32047,Shirt,17,86.18,1465.06,8/13/2014 0:00,3:42:49,PM
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,14,87.56,1225.84,4/27/2014 0:00,7:55:06,AM
676847,Hamill-Hackett,GS-86623,Shoes,20,27.49,549.8,7/2/2014 0:00,12:51:29,PM
93356,Waters-Walker,GS-86623,Shoes,4,73.11,292.44,8/21/2014 0:00,7:29:11,PM
758133,"Kihn, McClure and Denesik",FK-71853,Shirt,11,90.64,997.04,5/11/2014 0:00,6:10:17,AM
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,12,72.17,866.04,9/15/2014 0:00,8:49:18,PM
659366,Waelchi-Fahey,LL-46261,Shoes,9,50.76,456.84,8/29/2014 0:00,11:32:00,AM
93356,Waters-Walker,FK-71853,Shirt,16,21.43,342.88,5/25/2014 0:00,12:38:58,AM
93356,Waters-Walker,LL-46261,Shoes,20,21.09,421.8,12/23/2013 0:00,4:50:54,AM
524021,Hegmann and Sons,VG-32047,Shirt,20,25.37,507.4,7/19/2014 0:00,5:18:19,PM
676847,Hamill-Hackett,KV-99194,Shirt,20,29.59,591.8,1/1/2014 0:00,7:55:03,PM
995267,Cole-Eichmann,KV-99194,Shirt,17,20.24,344.08,10/1/2014 0:00,9:20:26,PM
850140,Kunze Inc,WJ-02096,Belt,13,71.35,927.55,6/9/2014 0:00,8:22:22,PM
524021,Hegmann and Sons,KV-99194,Shirt,16,79.67,1274.72,10/25/2013 0:00,7:31:02,AM
711951,Kilback-Gerlach,LW-86841,Shoes,2,60.75,121.5,5/17/2014 0:00,1:10:42,PM
299771,"Kuphal, Zieme and Kub",KV-99194,Shirt,5,44.47,222.35,4/11/2014 0:00,5:00:15,AM
93356,Waters-Walker,GS-86623,Shoes,2,86.17,172.34,3/12/2014 0:00,2:25:12,PM
555594,"Ernser, Cruickshank and Lind",LW-86841,Shoes,14,54.5,763,10/6/2014 0:00,9:47:02,AM
299771,"Kuphal, Zieme and Kub",AS-93055,Shirt,18,37.75,679.5,4/5/2014 0:00,8:02:30,PM
299771,"Kuphal, Zieme and Kub",FK-71853,Shirt,20,32.7,654,4/26/2014 0:00,5:18:02,AM
296809,Carroll PLC,MJ-21460,Shoes,15,93.06,1395.9,8/17/2014 0:00,6:39:56,PM
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,17,49.59,843.03,10/29/2013 0:00,12:57:27,PM
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,17,45.43,772.31,5/9/2014 0:00,6:44:04,AM
711951,Kilback-Gerlach,AS-93055,Shirt,2,31.54,63.08,1/26/2014 0:00,5:15:19,AM
304860,Huel-Haag,LW-86841,Shoes,6,93.02,558.12,11/23/2013 0:00,8:51:18,AM
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,16,57.02,912.32,10/14/2014 0:00,2:07:31,PM
711951,Kilback-Gerlach,FK-71853,Shirt,11,53.17,584.87,6/10/2014 0:00,3:11:01,PM
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,12,52.51,630.12,8/3/2014 0:00,3:39:52,AM
115138,Gorczany-Hahn,MJ-21460,Shoes,13,96.31,1252.03,12/3/2013 0:00,4:04:40,AM
201259,Koelpin PLC,LW-86841,Shoes,16,90.97,1455.52,8/29/2014 0:00,7:41:36,AM
734922,Berge LLC,KV-99194,Shirt,7,64.02,448.14,11/5/2013 0:00,3:55:12,AM
563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,15,18.41,276.15,3/2/2014 0:00,5:47:13,PM
305803,"Davis, Kshlerin and Reilly",MJ-21460,Shoes,2,29.63,59.26,3/27/2014 0:00,11:48:17,PM
750461,"Volkman, Goyette and Lemke",FK-71853,Shirt,4,46.82,187.28,2/15/2014 0:00,6:51:19,AM
850140,Kunze Inc,VG-32047,Shirt,9,93.69,843.21,3/20/2014 0:00,3:25:39,PM
93356,Waters-Walker,GS-86623,Shoes,15,64.11,961.65,10/23/2013 0:00,8:28:53,AM
304860,Huel-Haag,LL-46261,Shoes,3,48.87,146.61,4/3/2014 0:00,10:36:22,PM
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,14,87.01,1218.14,12/14/2013 0:00,4:40:16,PM
929400,"Senger, Upton and Breitenberg",KV-99194,Shirt,4,17.98,71.92,7/22/2014 0:00,7:10:27,PM
734922,Berge LLC,AS-93055,Shirt,10,93.77,937.7,8/17/2014 0:00,9:21:15,AM
734922,Berge LLC,MJ-21460,Shoes,6,84.73,508.38,7/20/2014 0:00,6:27:59,PM
711951,Kilback-Gerlach,QN-82852,Belt,11,45.49,500.39,11/12/2013 0:00,10:13:25,AM
299771,"Kuphal, Zieme and Kub",LL-46261,Shoes,17,70.23,1193.91,8/14/2014 0:00,1:57:01,PM
995267,Cole-Eichmann,FK-71853,Shirt,10,51.29,512.9,9/16/2014 0:00,5:26:10,AM
93356,Waters-Walker,AS-93055,Shirt,16,75.48,1207.68,8/23/2014 0:00,4:04:11,AM
676847,Hamill-Hackett,MJ-21460,Shoes,19,56.9,1081.1,10/21/2014 0:00,8:46:48,AM
524021,Hegmann and Sons,FK-71853,Shirt,10,71.89,718.9,9/11/2014 0:00,12:45:37,AM
929400,"Senger, Upton and Breitenberg",MJ-21460,Shoes,10,13.02,130.2,6/30/2014 0:00,10:31:23,AM
304860,Huel-Haag,MJ-21460,Shoes,3,79.49,238.47,6/2/2014 0:00,1:06:24,PM
734922,Berge LLC,AS-93055,Shirt,11,81.53,896.83,9/1/2014 0:00,5:46:10,PM
659366,Waelchi-Fahey,LL-46261,Shoes,1,18.68,18.68,5/19/2014 0:00,6:10:49,PM
201259,Koelpin PLC,MJ-21460,Shoes,20,45.32,906.4,7/6/2014 0:00,10:06:23,PM
711951,Kilback-Gerlach,AS-93055,Shirt,10,68.74,687.4,3/27/2014 0:00,12:14:12,PM
750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,10,90,900,7/10/2014 0:00,10:17:15,PM
995267,Cole-Eichmann,WJ-02096,Belt,6,20.3,121.8,5/23/2014 0:00,10:24:32,AM
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,17,58.67,997.39,12/8/2013 0:00,1:43:29,PM
659366,Waelchi-Fahey,FK-71853,Shirt,2,12.68,25.36,4/27/2014 0:00,3:38:16,AM
676847,Hamill-Hackett,GS-86623,Shoes,17,49.68,844.56,1/28/2014 0:00,3:37:10,PM
524021,Hegmann and Sons,MJ-21460,Shoes,2,95.37,190.74,3/30/2014 0:00,8:27:54,AM
524021,Hegmann and Sons,AS-93055,Shirt,20,96.98,1939.6,6/13/2014 0:00,6:23:55,PM
296809,Carroll PLC,VG-32047,Shirt,16,23.79,380.64,2/26/2014 0:00,6:22:57,PM
995267,Cole-Eichmann,KV-99194,Shirt,2,37.86,75.72,4/4/2014 0:00,7:30:50,PM
304860,Huel-Haag,KV-99194,Shirt,9,66.18,595.62,1/15/2014 0:00,11:55:40,AM
524021,Hegmann and Sons,KV-99194,Shirt,6,98.89,593.34,4/22/2014 0:00,12:24:15,AM
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,4,25.02,100.08,5/26/2014 0:00,6:54:22,AM
563905,"Kerluke, Reilly and Bechtelar",WJ-02096,Belt,16,64.58,1033.28,12/17/2013 0:00,11:35:15,PM
305803,"Davis, Kshlerin and Reilly",FK-71853,Shirt,18,48.7,876.6,2/10/2014 0:00,8:43:23,AM
734922,Berge LLC,QN-82852,Belt,16,24.66,394.56,12/12/2013 0:00,12:57:07,AM
563905,"Kerluke, Reilly and Bechtelar",LW-86841,Shoes,5,43.15,215.75,4/6/2014 0:00,6:24:33,AM
296809,Carroll PLC,QN-82852,Belt,2,54.52,109.04,8/24/2014 0:00,9:43:19,AM
929400,"Senger, Upton and Breitenberg",WJ-02096,Belt,8,91.14,729.12,6/11/2014 0:00,10:12:04,AM
98022,Heidenreich-Bosco,LW-86841,Shoes,13,65.79,855.27,6/28/2014 0:00,4:47:33,AM
750461,"Volkman, Goyette and Lemke",AS-93055,Shirt,8,14.73,117.84,3/19/2014 0:00,5:18:21,AM
758133,"Kihn, McClure and Denesik",VG-32047,Shirt,14,96.18,1346.52,10/4/2014 0:00,9:49:10,AM
